lab_date,project,site,trialID,sample_type,sampleID,trial_start,trial_end,start_light,elapsed_dark,acc_hrs,temp_ysi_start,salinity_ysi_start,pH_ysi_start,chamber,volume_chamber,lid,channel,cable,PAR,pH_ysi_final,volume_initial_mL,volume_final_mL,volume_kelp,wet_weight_g,dry_weight+packet_weight_g,packet_weight_g,dry_weight_g,blade_length_cm,Master channel,Note,photo (blade _area) ,link with in situ or harvest morphometrics ,spc
2020-07-22,kelp,Tickster,K6,macro,S06_M17_30,14:32,15:45,15:16,73,,16.4,25.18,10.03,B,4958,Y,2,2,94,10.32,498,570,72,77.77,12.3,2.7969,9.5031,92,1,,,,39425
2020-07-22,kelp,NA,K6,background,S06_C,14:32,15:45,15:16,73,,16.4,25.18,10.03,C,4970,R,3,3,100,10.37,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,39425
2020-07-22,kelp,Triquetta,K6,nereo,S06_N18_7013,14:32,15:45,15:16,73,,16.4,25.18,10.03,D,4988,BL,4,4,91,10.42,143,168,25,25.56,3.18,1.3485,1.8315,141,1,,,,39425
2020-07-22,kelp,Triquetta,K7,nereo,S07_N19_6011,16:00,17:00,16:30,60,,15.1,26.9,10.1,A,4979,B/W,1,1,73,10.04,109,165,56,24.54,3.04,1.2569,1.7831,109,1,,,,41863
2020-07-22,kelp,NA,K7,background,S07_C,16:00,17:00,16:30,60,,15.1,26.9,10.1,B,4958,Y,2,2,91,10.04,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,41863
2020-07-22,kelp,Tickster,K7,macro,S07_M20_11,16:00,17:00,16:30,60,,15.1,26.9,10.1,C,4970,R,3,3,99,10.09,137,168,31,28.44,4.09,1.144,2.946,50,1,,,,41863
2020-07-22,kelp,Tickster,K7,macro,S07_M21_8066,16:00,17:00,16:30,60,,15.1,26.9,10.1,D,4988,BL,4,4,89,10.14,650,720,70,74.69,10.22,1.2791,8.9409,95,1,,,,41863
2020-07-28,kelp,Triquetta,K8,macro,S08_M22,13:40,14:00,14:37,20,,15.6,26.22,8.32,A,4979,B/W,4,1,55,8.81,170,236,66,76.42,9,1.4049,7.5951,72,1,,,,40907
2020-07-28,kelp,Triquetta,K8,macro,S08_M23,13:40,14:00,14:37,20,,15.6,26.22,8.32,B,4958,Y,3,2,77,8.8,555,690,135,96.73,15.24,1.6868,13.5132,81,1,,,,40907
2020-07-28,kelp,Triquetta,K8,macro,S08_M24,13:40,14:00,14:37,20,,15.6,26.22,8.32,C,4970,R,2,3,74,8.74,154,194,40,39.85,6.23,1.573,4.657,63,1,,,,40907
2020-07-28,kelp,NA,K8,background,S08_C,13:40,14:00,14:37,20,,15.6,26.22,8.32,D,4988,BL,1,4,60,8.66,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,40907
