lab_date,project,site,trialID,sample_type,sampleID,trial_start,trial_end,start_light,elapsed_dark,acc_hrs,temp_ysi_start,salinity_ysi_start,pH_ysi_start,chamber,volume_chamber,lid,channel,cable,PAR,pH_ysi_final,volume_initial_mL,volume_final_mL,volume_kelp,wet_weight_g,dry_weight+packet_weight_g,packet_weight_g,dry_weight_g,blade_length_cm,Master channel,Note,photo (blade _area) ,link with in situ or harvest morphometrics ,spc
2020-07-20,kelp,Triquetta,K1,nereo,01_N1_7029,11:30,12:30,12:00,60,,14.8,27.28,8.35,A,4979,B/W,1,1,86,8.36,128,145,17,31.5,3.56,1.4031,2.1569,113,1,,,,42420
2020-07-20,kelp,NA,K1,background,01_C,11:30,12:30,12:00,60,,14.8,27.28,8.35,B,4958,Y,2,2,100,8.33,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,42420
2020-07-20,kelp,Triquetta,K1,nereo,01_N2_1027,11:30,12:30,12:00,60,,14.8,27.28,8.35,C,4970,R,3,3,105,8.4,209,242,33,36.1,4.03,1.4127,2.6173,180,1,,,,42420
2020-07-20,kelp,Tickster,K1,macro,01_M3_002,11:30,12:30,12:00,60,,14.8,27.28,8.35,D,4988,BL,4,4,82,8.49,152,164,12,53.6,6.32,1.4874,4.8326,64,1,,,,42420
2020-07-20,kelp,Triquetta,K2,nereo,02_N4_523,12:51,13:55,13:25,64,,14.9,27.38,8.64,A,4979,B/W,1,1,83,8.68,199,201,2,14.1,2.29,1.4636,0.8264,74,1,,,,42581
2020-07-20,kelp,Tickster,K2,macro,02_M5_1008,12:51,13:55,13:25,64,,14.9,27.38,8.64,B,4958,Y,2,2,100,8.84,659,740,81,77.2,9.9,1.4915,8.4085,96,1,,,,42581
2020-07-20,kelp,Tickster,K2,macro,02_M6_8003,12:51,13:55,13:25,64,,14.9,27.38,8.64,C,4970,R,3,3,104,8.81,196,212,16,19.4,3.25,1.5501,1.6999,31,1,,,,42581
2020-07-20,kelp,NA,K2,background,02_C,12:51,13:55,13:25,64,,14.9,27.38,8.64,D,4988,BL,4,4,82,8.76,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,42581
2020-07-20,kelp,Triquetta,K3,nereo,03_N7_925,14:14,15:16,14:44,62,,15,27.57,8.63,A,4979,B/W,1,1,68,9.05,190,227,37,40.7,4.02,1.2857,2.7343,168,1,,,,42824
2020-07-20,kelp,Triquetta,K3,nereo,03_N8_8032,14:14,15:16,14:44,62,,15,27.57,8.63,B,4958,Y,2,2,86,9.05,193,216,23,24.6,2.76,0.829,1.931,104,1,,,,42824
2020-07-20,kelp,NA,K3,background,03_C,14:14,15:16,14:44,62,,15,27.57,8.63,C,4970,R,3,3,84,9.04,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,42824
2020-07-20,kelp,Triquetta,K3,nereo,03_N9_8039,14:14,15:16,14:44,62,,15,27.57,8.63,D,4988,BL,4,4,75,9.05,170,229,59,52.4,4.83,1.406,3.424,220,1,,,,42824
2020-07-20,kelp,Tickster,K4,macro,04_M10_009,16:53,17:58,17:33,65,,15.7,27.7,8.47,B,4958,Y,2,2,66,8.55,610,638,28,27,4.21,1.567,2.643,,1,,,,43099
2020-07-20,kelp,Tickster,K4,maco,04_M11_3009,16:53,17:58,17:33,65,,15.7,27.7,8.47,C,4970,R,3,3,92,8.58,630,700,70,71.8,9.52,1.4358,8.0842,96,1,,,,43099
2020-07-20,kelp,Tickster,K4,maco,04_M12_026,16:53,17:58,17:33,65,,15.7,27.7,8.47,D,4988,BL,4,4,82,8.58,607,650,43,45.1,5.97,1.5345,4.4355,,1,,,,43099
2020-07-20,kelp,NA,K4,background,04_C,16:53,17:58,17:33,65,,15.7,27.7,8.47,A,4979,B/W,1,1,74,8.48,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,43099
2020-07-22,kelp,Triquetta,K5,nereo,05_N13_8052,13:10,14:16,13:44,66,,16.1,25.21,9.34,A,4979,B/W,1,1,80,10.23,180,217,37,37.7,4.18,1.305,2.875,143,1,,,,39044
2020-07-22,kelp,Tickster,K5,macro,05_M14_31,13:10,14:16,13:44,66,,16.1,25.21,9.34,B,4958,Y,2,2,94,10.24,450,528,78,78.49,11.01,2.4902,8.5198,104,1,,,,39044
2020-07-22,kelp,Triquetta,K5,nereo,05_N15_3006,13:10,14:16,13:44,66,,16.1,25.21,9.34,C,4970,R,3,3,95,10.41,173,209,36,37.02,4.13,1.3733,2.7567,168,1,,,,39044
2020-07-22,kelp,NA,K5,background,05_C,13:10,14:16,13:44,66,,16.1,25.21,9.34,D,4988,BL,4,4,84,10.41,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,39044
2020-07-22,kelp,Tickster,K6,macro,06_M16_8033,14:32,15:45,15:16,73,,16.4,25.18,10.03,A,4979,B/W,1,1,78,10.23,147,187,40,36.98,5.2,1.2785,3.9215,37,1,,,,39425
2020-07-22,kelp,Tickster,K6,macro,06_M17_30,14:32,15:45,15:16,73,,16.4,25.18,10.03,B,4958,Y,2,2,94,10.32,498,570,72,77.77,12.3,2.7969,9.5031,92,1,,,,39425
2020-07-22,kelp,NA,K6,background,06_C,14:32,15:45,15:16,73,,16.4,25.18,10.03,C,4970,R,3,3,100,10.37,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,39425
2020-07-22,kelp,Triquetta,K6,nereo,06_N18_7013,14:32,15:45,15:16,73,,16.4,25.18,10.03,D,4988,BL,4,4,91,10.42,143,168,25,25.56,3.18,1.3485,1.8315,141,1,,,,39425
2020-07-22,kelp,Triquetta,K7,nereo,07_N19_6011,16:00,17:00,16:30,60,,15.1,26.9,10.1,A,4979,B/W,1,1,73,10.04,109,165,56,24.54,3.04,1.2569,1.7831,109,1,,,,41863
2020-07-22,kelp,NA,K7,background,07_C,16:00,17:00,16:30,60,,15.1,26.9,10.1,B,4958,Y,2,2,91,10.04,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,41863
2020-07-22,kelp,Tickster,K7,macro,07_M20_11,16:00,17:00,16:30,60,,15.1,26.9,10.1,C,4970,R,3,3,99,10.09,137,168,31,28.44,4.09,1.144,2.946,50,1,,,,41863
2020-07-22,kelp,Tickster,K7,macro,07_M21_8066,16:00,17:00,16:30,60,,15.1,26.9,10.1,D,4988,BL,4,4,89,10.14,650,720,70,74.69,10.22,1.2791,8.9409,95,1,,,,41863
2020-07-28,kelp,Triquetta,K8,macro,08_M22,13:40,14:00,14:37,20,,15.6,26.22,8.32,A,4979,B/W,4,1,55,8.81,170,236,66,76.42,9,1.4049,7.5951,72,1,,,,40907
2020-07-28,kelp,Triquetta,K8,macro,08_M23,13:40,14:00,14:37,20,,15.6,26.22,8.32,B,4958,Y,3,2,77,8.8,555,690,135,96.73,15.24,1.6868,13.5132,81,1,,,,40907
2020-07-28,kelp,Triquetta,K8,macro,08_M24,13:40,14:00,14:37,20,,15.6,26.22,8.32,C,4970,R,2,3,74,8.74,154,194,40,39.85,6.23,1.573,4.657,63,1,,,,40907
2020-07-28,kelp,NA,K8,background,08_C,13:40,14:00,14:37,20,,15.6,26.22,8.32,D,4988,BL,1,4,60,8.66,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,40907
2020-08-08,seagrass,pruth bay,z1,zostera shoot,z005,13:36,14:46,14:06,30,24,12.9,25.68,6.82,A,4979,black,1,1,82,NA,NA,NA,2,1.33,NA,NA,0.22,NA,1,,,,NA
2020-08-08,seagrass,pruth bay,z1,zostera shoot,z006,13:36,14:46,14:06,30,24,12.9,25.68,6.82,B,4958,red,2,2,87,NA,NA,NA,2,1.3,NA,NA,0.23,NA,1,,,,NA
2020-08-08,seagrass,pruth bay,z1,background,z007,13:36,14:46,14:06,30,24,12.9,25.68,6.82,C,4970,blue,3,3,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,NA
2020-08-08,seagrass,pruth bay,z1,zostera shoot,z008,13:36,14:46,14:06,30,24,12.9,25.68,6.82,D,4988,yellow,4,4,88,NA,NA,NA,6,4.25,NA,NA,0.76,NA,1,,,,NA
2020-08-08,seagrass,pruth bay,z2,zostera shoot,z009,15:30,16:33,16:00,30,48,13.8,25.77,6.85,A,4979,black,1,1,80,NA,NA,NA,4,2.13,NA,NA,0.37,NA,1,,,,NA
2020-08-08,seagrass,pruth bay,z2,zostera shoot,z010,15:30,16:33,16:00,30,48,13.8,25.77,6.85,B,4958,red,2,2,80,NA,NA,NA,1,0.43,NA,NA,0.08,NA,1,,,,NA
2020-08-08,seagrass,pruth bay,z2,zostera shoot,z011,15:30,16:33,16:00,30,48,13.8,25.77,6.85,C,4970,blue,3,3,82,NA,NA,NA,1,0.55,NA,NA,0.09,NA,1,,,,NA
2020-08-08,seagrass,pruth bay,z2,background,z012,15:30,16:33,16:00,30,48,13.8,25.77,6.85,D,4988,yellow,4,4,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,NA
2020-08-11,seagrass,pruth bay,z3,background,z013,13:16,13:45,13:46,30,48,14.9,24.42,6.58,A,4979,black,1,1,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Large air bubble formed in chamber. Inspect data carefully.,,,NA
2020-08-11,seagrass,pruth bay,z3,zostera shoot,z014,13:16,13:45,13:46,30,48,14.9,24.42,6.58,B,4958,red,2,2,100,NA,NA,NA,2,1.53,NA,NA,0.26,NA,1,,,,NA
2020-08-11,seagrass,pruth bay,z3,zostera shoot,z015,13:16,13:45,13:46,30,48,14.9,24.42,6.58,C,4970,blue,3,3,100,NA,NA,NA,1.5,0.69,NA,NA,0.14,NA,1,,,,NA
2020-08-11,seagrass,pruth bay,z3,zostera shoot,z016,13:16,13:45,13:46,30,48,14.9,24.42,6.58,D,4988,yellow,4,4,86,NA,NA,NA,3,1.03,NA,NA,0.19,NA,1,not directly under light (hence low par),,,NA
2020-08-11,seagrass,pruth bay,z4,zostera shoot,z017,14:53,15:53,15:23,30,48,15.2,24.18,7,A,4979,black,1,1,51,NA,NA,NA,1,0.4,NA,NA,0.07,NA,1,,,,NA
2020-08-11,seagrass,pruth bay,z4,background,z018,14:53,15:53,15:23,30,48,15.2,24.18,7,B,4958,red,2,2,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,NA
2020-08-11,seagrass,pruth bay,z4,zostera shoot,z019,14:53,15:53,15:23,30,48,15.2,24.18,7,C,4970,blue,3,3,90,NA,NA,NA,2,2.06,NA,NA,0.33,NA,1,,,,NA
2020-08-11,seagrass,pruth bay,z4,zostera shoot,z020,14:53,15:53,15:23,30,48,15.2,24.18,7,D,4988,yellow,4,4,85,NA,NA,NA,2,1.11,NA,NA,0.18,NA,1,,,,NA
2020-08-16,seagrass,koeye,z5,background,z021,9:08,10:08,9:38,30,<24,15.7,25.15,6.91,A,4979,black,1,1,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,NA
2020-08-16,seagrass,koeye,z5,zostera shoot,z022,9:08,10:08,9:38,30,<24,15.7,25.15,6.91,B,4958,red,2,2,89,NA,NA,NA,13,7.6,NA,NA,1.4,NA,1,,,,NA
2020-08-16,seagrass,koeye,z5,zostera shoot,z023,9:08,10:08,9:38,30,<24,15.7,25.15,6.91,C,4970,blue,3,3,49,NA,NA,NA,25,15,NA,NA,2.3,NA,1,,,,NA
2020-08-16,seagrass,koeye,z5,background,z024,9:08,10:08,9:38,30,<24,15.7,25.15,6.91,D,4988,yellow,4,4,40,NA,NA,NA,19,12.6,NA,NA,1.8,NA,1,accidently cleared first 7 minutes of graph,,,NA
2020-08-16,seagrass,koeye,z6,zostera shoot,z025,13:25,14:25,13:55,30,24,15.7,25.68,6.88,A,4979,black,1,1,79,NA,NA,NA,18,11.6,NA,NA,1.7,NA,1,,,,NA
2020-08-16,seagrass,koeye,z6,zostera shoot,z026,13:25,14:25,13:55,30,24,15.7,25.68,6.88,B,4958,red,2,2,96,NA,NA,NA,10,7.3,NA,NA,1.2,NA,1,,,,NA
2020-08-16,seagrass,koeye,z6,background,z027,13:25,14:25,13:55,30,24,15.7,25.68,6.88,C,4970,blue,3,3,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,NA
2020-08-16,seagrass,koeye,z6,zostera shoot,z028,13:25,14:25,13:55,30,24,15.7,25.68,6.88,D,4988,yellow,4,4,81,NA,NA,NA,19,5.3,NA,NA,0.7,NA,1,TEMP & SALINITY SENSOR NOT IN WATER,,,NA
2020-08-17,seagrass,choked,z7,zostera shoot,z029,13:10,14:10,13:40,30,24,15.3,27.09,7.92,A,4979,black,1,1,71,NA,NA,NA,14,18.2,NA,NA,2.6,NA,1,TEMP & SALINITY SENSOR NOT IN WATER,,,NA
2020-08-17,seagrass,choked,z7,zostera shoot,z030,13:10,14:10,13:40,30,24,15.3,27.09,7.92,B,4958,red,2,2,85,NA,NA,NA,43,21.3,NA,NA,3.1,NA,1,TEMP & SALINITY SENSOR NOT IN WATER,,,NA
2020-08-17,seagrass,choked,z7,zostera shoot,z031,13:10,14:10,13:40,30,24,15.3,27.09,7.92,C,4970,blue,3,3,87,NA,NA,NA,27,19.31,NA,NA,3,NA,1,TEMP & SALINITY SENSOR NOT IN WATER,,,NA
2020-08-17,seagrass,choked,z7,background,z032,13:10,14:10,13:40,30,24,15.3,27.09,7.92,D,4988,yellow,4,4,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,NA
2020-08-17,seagrass,choked,z8,zostera shoot,z033a,15:34,16:34,16:04,30,24,14.8,27.04,8.05,A,4979,black,1,1,72,NA,NA,NA,32,24.8,NA,NA,3.6,NA,1,,,,NA
2020-08-17,seagrass,choked,z8,zostera shoot,z034a,15:34,16:34,16:04,30,24,14.8,27.04,8.05,B,4958,red,2,2,90,NA,NA,NA,30,26.7,NA,NA,3.6,NA,1,,,,NA
2020-08-17,seagrass,choked,z8,background,z035a,15:34,16:34,16:04,30,24,14.8,27.04,8.05,C,4970,blue,3,3,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,NA
2020-08-17,seagrass,choked,z8,zostera shoot,z036a,15:34,16:34,16:04,30,24,14.8,27.04,8.05,D,4988,yellow,4,4,77,NA,NA,NA,30,19.2,NA,NA,2.8,NA,1,,,,NA
2020-08-17,seagrass,choked,z9,background,z037,16:57,18:00,17:27,30,24,16.2,28.72,7.97,A,4979,black,1,1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,developed large bubble,,,NA
