Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
4,8-8-20 13:37:17,0.000,Sensor3 (PSt3),8-8-20 13:27:33,default,80.030,%a.s.,13.205,°C,1028.000,hPa,Humid,0,0,,0,30.487,49705,49049.18,7.00,2500.00,#N/A
8,8-8-20 13:37:20,0.051,Sensor3 (PSt3),8-8-20 13:27:33,default,79.984,%a.s.,13.223,°C,1028.000,hPa,Humid,0,0,,0,30.490,49702,49048.09,7.00,2500.00,#N/A
12,8-8-20 13:37:23,0.100,Sensor3 (PSt3),8-8-20 13:27:33,default,79.980,%a.s.,13.205,°C,1028.000,hPa,Humid,0,0,,0,30.494,49700,49050.06,7.00,2500.00,#N/A
16,8-8-20 13:37:26,0.150,Sensor3 (PSt3),8-8-20 13:27:33,default,79.967,%a.s.,13.235,°C,1028.000,hPa,Humid,0,0,,0,30.490,49703,49047.02,7.00,2500.00,#N/A
20,8-8-20 13:37:29,0.200,Sensor3 (PSt3),8-8-20 13:27:33,default,80.043,%a.s.,13.211,°C,1028.000,hPa,Humid,0,0,,0,30.484,49698,49046.80,7.00,2500.00,#N/A
24,8-8-20 13:37:32,0.250,Sensor3 (PSt3),8-8-20 13:27:33,default,79.915,%a.s.,13.248,°C,1028.000,hPa,Humid,0,0,,0,30.495,49704,49048.73,7.00,2500.00,#N/A
28,8-8-20 13:37:35,0.300,Sensor3 (PSt3),8-8-20 13:27:33,default,80.088,%a.s.,13.198,°C,1028.000,hPa,Humid,0,0,,0,30.480,49703,49045.49,7.00,2500.00,#N/A
32,8-8-20 13:37:38,0.350,Sensor3 (PSt3),8-8-20 13:27:33,default,79.965,%a.s.,13.248,°C,1028.000,hPa,Humid,0,0,,0,30.488,49698,49044.96,7.00,2500.00,#N/A
36,8-8-20 13:37:41,0.400,Sensor3 (PSt3),8-8-20 13:27:33,default,80.061,%a.s.,13.192,°C,1028.000,hPa,Humid,0,0,,0,30.485,49707,49048.73,7.00,2500.00,#N/A
40,8-8-20 13:37:44,0.450,Sensor3 (PSt3),8-8-20 13:27:33,default,80.075,%a.s.,13.192,°C,1028.000,hPa,Humid,0,0,,0,30.483,49708,49038.83,7.00,2500.00,#N/A
44,8-8-20 13:37:47,0.501,Sensor3 (PSt3),8-8-20 13:27:33,default,80.051,%a.s.,13.205,°C,1028.000,hPa,Humid,0,0,,0,30.484,49694,49041.89,7.00,2500.00,#N/A
48,8-8-20 13:37:50,0.550,Sensor3 (PSt3),8-8-20 13:27:33,default,79.993,%a.s.,13.211,°C,1028.000,hPa,Humid,0,0,,0,30.491,49704,49035.42,7.00,2500.00,#N/A
52,8-8-20 13:37:53,0.600,Sensor3 (PSt3),8-8-20 13:27:33,default,80.006,%a.s.,13.217,°C,1028.000,hPa,Humid,0,0,,0,30.488,49698,49042.40,7.00,2500.00,#N/A
56,8-8-20 13:37:56,0.650,Sensor3 (PSt3),8-8-20 13:27:33,default,79.919,%a.s.,13.229,°C,1028.000,hPa,Humid,0,0,,0,30.498,49703,49040.81,7.00,2500.00,#N/A
60,8-8-20 13:37:59,0.700,Sensor3 (PSt3),8-8-20 13:27:33,default,80.016,%a.s.,13.205,°C,1028.000,hPa,Humid,0,0,,0,30.489,49702,49041.02,7.00,2500.00,#N/A
64,8-8-20 13:38:02,0.750,Sensor3 (PSt3),8-8-20 13:27:33,default,80.006,%a.s.,13.217,°C,1028.000,hPa,Humid,0,0,,0,30.488,49699,49043.80,7.00,2500.00,#N/A
68,8-8-20 13:38:05,0.801,Sensor3 (PSt3),8-8-20 13:27:33,default,80.052,%a.s.,13.235,°C,1028.000,hPa,Humid,0,0,,0,30.478,49697,49038.20,7.00,2500.00,#N/A
72,8-8-20 13:38:08,0.850,Sensor3 (PSt3),8-8-20 13:27:33,default,80.005,%a.s.,13.223,°C,1028.000,hPa,Humid,0,0,,0,30.487,49695,49042.68,7.00,2500.00,#N/A
76,8-8-20 13:38:11,0.900,Sensor3 (PSt3),8-8-20 13:27:33,default,80.072,%a.s.,13.211,°C,1028.000,hPa,Humid,0,0,,0,30.480,49699,49043.66,7.00,2500.00,#N/A
80,8-8-20 13:38:14,0.951,Sensor3 (PSt3),8-8-20 13:27:33,default,79.987,%a.s.,13.205,°C,1028.000,hPa,Humid,0,0,,0,30.493,49699,49035.90,7.00,2500.00,#N/A
84,8-8-20 13:38:17,1.000,Sensor3 (PSt3),8-8-20 13:27:33,default,80.031,%a.s.,13.198,°C,1028.000,hPa,Humid,0,0,,0,30.488,49693,49040.39,7.00,2500.00,#N/A
88,8-8-20 13:38:20,1.050,Sensor3 (PSt3),8-8-20 13:27:33,default,79.986,%a.s.,13.211,°C,1028.000,hPa,Humid,0,0,,0,30.492,49698,49045.89,7.00,2500.00,#N/A
92,8-8-20 13:38:23,1.100,Sensor3 (PSt3),8-8-20 13:27:33,default,79.945,%a.s.,13.242,°C,1028.000,hPa,Humid,0,0,,0,30.492,49698,49038.69,7.00,2500.00,#N/A
96,8-8-20 13:38:26,1.150,Sensor3 (PSt3),8-8-20 13:27:33,default,80.079,%a.s.,13.211,°C,1028.000,hPa,Humid,0,0,,0,30.479,49699,49041.71,7.00,2500.00,#N/A
100,8-8-20 13:38:29,1.200,Sensor3 (PSt3),8-8-20 13:27:33,default,80.094,%a.s.,13.205,°C,1028.000,hPa,Humid,0,0,,0,30.478,49700,49038.97,7.00,2500.00,#N/A
104,8-8-20 13:38:32,1.250,Sensor3 (PSt3),8-8-20 13:27:33,default,79.925,%a.s.,13.235,°C,1028.000,hPa,Humid,0,0,,0,30.496,49695,49037.80,7.00,2500.00,#N/A
108,8-8-20 13:38:35,1.300,Sensor3 (PSt3),8-8-20 13:27:33,default,80.026,%a.s.,13.223,°C,1028.000,hPa,Humid,0,0,,0,30.484,49699,49036.34,7.00,2500.00,#N/A
112,8-8-20 13:38:38,1.351,Sensor3 (PSt3),8-8-20 13:27:33,default,79.971,%a.s.,13.217,°C,1028.000,hPa,Humid,0,0,,0,30.493,49695,49038.95,7.00,2500.00,#N/A
