PreSens Measurement Studio 2,,,,,,,,,,,,,,,,,,,,,,,
Id,Date,delta_t,Time_Unit,Sensor,Calibration,User,Value,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
1,2008-08-20 13:37,0,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.751,%a.s.,13.205,°C,1028,hPa,Humid,0,0,,0,30.248,54584,48849.46,6,2500,#N/A
5,2008-08-20 13:37,0.051,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.82,%a.s.,13.223,°C,1028,hPa,Humid,0,0,,0,30.235,54582,48846.64,6,2500,#N/A
9,2008-08-20 13:37,0.1,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.758,%a.s.,13.205,°C,1028,hPa,Humid,0,0,,0,30.247,54578,48851.03,6,2500,#N/A
13,2008-08-20 13:37,0.15,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.694,%a.s.,13.235,°C,1028,hPa,Humid,0,0,,0,30.25,54575,48844.36,6,2500,#N/A
17,2008-08-20 13:37,0.2,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.771,%a.s.,13.211,°C,1028,hPa,Humid,0,0,,0,30.244,54574,48839.5,6,2500,#N/A
21,2008-08-20 13:37,0.25,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.728,%a.s.,13.248,°C,1028,hPa,Humid,0,0,,0,30.243,54580,48844.09,6,2500,#N/A
25,2008-08-20 13:37,0.3,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.686,%a.s.,13.198,°C,1028,hPa,Humid,0,0,,0,30.258,54579,48845.17,6,2500,#N/A
29,2008-08-20 13:37,0.35,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.691,%a.s.,13.248,°C,1028,hPa,Humid,0,0,,0,30.248,54576,48839.67,6,2500,#N/A
33,2008-08-20 13:37,0.4,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.797,%a.s.,13.192,°C,1028,hPa,Humid,0,0,,0,30.244,54576,48844.82,6,2500,#N/A
37,2008-08-20 13:37,0.45,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.79,%a.s.,13.192,°C,1028,hPa,Humid,0,0,,0,30.245,54569,48844.28,6,2500,#N/A
41,2008-08-20 13:37,0.501,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.78,%a.s.,13.205,°C,1028,hPa,Humid,0,0,,0,30.244,54568,48839.8,6,2500,#N/A
45,2008-08-20 13:37,0.55,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.698,%a.s.,13.211,°C,1028,hPa,Humid,0,0,,0,30.254,54555,48839.18,6,2500,#N/A
49,2008-08-20 13:37,0.6,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.777,%a.s.,13.217,°C,1028,hPa,Humid,0,0,,0,30.242,54558,48836.47,6,2500,#N/A
53,2008-08-20 13:37,0.65,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.76,%a.s.,13.229,°C,1028,hPa,Humid,0,0,,0,30.242,54563,48839.51,6,2500,#N/A
57,2008-08-20 13:37,0.7,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.765,%a.s.,13.205,°C,1028,hPa,Humid,0,0,,0,30.246,54554,48836.26,6,2500,#N/A
61,2008-08-20 13:38,0.75,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.777,%a.s.,13.217,°C,1028,hPa,Humid,0,0,,0,30.242,54548,48839.05,6,2500,#N/A
65,2008-08-20 13:38,0.801,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.723,%a.s.,13.235,°C,1028,hPa,Humid,0,0,,0,30.246,54546,48835.05,6,2500,#N/A
69,2008-08-20 13:38,0.85,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.733,%a.s.,13.223,°C,1028,hPa,Humid,0,0,,0,30.247,54545,48832.81,6,2500,#N/A
73,2008-08-20 13:38,0.9,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.793,%a.s.,13.211,°C,1028,hPa,Humid,0,0,,0,30.241,54543,48838.49,6,2500,#N/A
77,2008-08-20 13:38,0.951,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.78,%a.s.,13.205,°C,1028,hPa,Humid,0,0,,0,30.244,54540,48836.06,6,2500,#N/A
81,2008-08-20 13:38,1,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.839,%a.s.,13.198,°C,1028,hPa,Humid,0,0,,0,30.237,54539,48835.26,6,2500,#N/A
85,2008-08-20 13:38,1.05,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.728,%a.s.,13.211,°C,1028,hPa,Humid,0,0,,0,30.25,54536,48835.17,6,2500,#N/A
89,2008-08-20 13:38,1.1,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.722,%a.s.,13.242,°C,1028,hPa,Humid,0,0,,0,30.245,54534,48832.88,6,2500,#N/A
93,2008-08-20 13:38,1.15,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.698,%a.s.,13.211,°C,1028,hPa,Humid,0,0,,0,30.254,54528,48837.44,6,2500,#N/A
97,2008-08-20 13:38,1.2,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.78,%a.s.,13.205,°C,1028,hPa,Humid,0,0,,0,30.244,54526,48838.42,6,2500,#N/A
101,2008-08-20 13:38,1.25,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.708,%a.s.,13.235,°C,1028,hPa,Humid,0,0,,0,30.248,54522,48831.84,6,2500,#N/A
105,2008-08-20 13:38,1.3,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.762,%a.s.,13.223,°C,1028,hPa,Humid,0,0,,0,30.243,54526,48834.71,6,2500,#N/A
109,2008-08-20 13:38,1.351,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.756,%a.s.,13.217,°C,1028,hPa,Humid,0,0,,0,30.245,54523,48840.36,6,2500,#N/A
113,2008-08-20 13:38,1.4,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.801,%a.s.,13.211,°C,1028,hPa,Humid,0,0,,0,30.24,54517,48832.09,6,2500,#N/A
117,2008-08-20 13:38,1.45,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.707,%a.s.,13.279,°C,1028,hPa,Humid,0,0,,0,30.24,54511,48835.29,6,2500,#N/A
121,2008-08-20 13:38,1.5,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.656,%a.s.,13.316,°C,1028,hPa,Humid,0,0,,0,30.24,54510,48835.55,6,2500,#N/A
125,2008-08-20 13:38,1.55,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.602,%a.s.,13.334,°C,1028,hPa,Humid,0,0,,0,30.244,54515,48831.3,6,2500,#N/A
129,2008-08-20 13:38,1.6,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.645,%a.s.,13.334,°C,1028,hPa,Humid,0,0,,0,30.238,54507,48835.21,6,2500,#N/A
133,2008-08-20 13:38,1.65,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.585,%a.s.,13.346,°C,1028,hPa,Humid,0,0,,0,30.244,54505,48831.66,6,2500,#N/A
137,2008-08-20 13:38,1.7,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.59,%a.s.,13.359,°C,1028,hPa,Humid,0,0,,0,30.241,54506,48831.74,6,2500,#N/A
141,2008-08-20 13:39,1.75,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.65,%a.s.,13.309,°C,1028,hPa,Humid,0,0,,0,30.242,54500,48828.31,6,2500,#N/A
145,2008-08-20 13:39,1.8,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.619,%a.s.,13.322,°C,1028,hPa,Humid,0,0,,0,30.244,54503,48833.31,6,2500,#N/A
149,2008-08-20 13:39,1.85,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.699,%a.s.,13.322,°C,1028,hPa,Humid,0,0,,0,30.233,54494,48830.3,6,2500,#N/A
153,2008-08-20 13:39,1.9,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.719,%a.s.,13.291,°C,1028,hPa,Humid,0,0,,0,30.236,54491,48829.86,6,2500,#N/A
157,2008-08-20 13:39,1.95,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.7,%a.s.,13.316,°C,1028,hPa,Humid,0,0,,0,30.234,54495,48829.87,6,2500,#N/A
161,2008-08-20 13:39,2,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.71,%a.s.,13.303,°C,1028,hPa,Humid,0,0,,0,30.235,54493,48829.71,6,2500,#N/A
165,2008-08-20 13:39,2.05,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.649,%a.s.,13.316,°C,1028,hPa,Humid,0,0,,0,30.241,54495,48831.49,6,2500,#N/A
169,2008-08-20 13:39,2.1,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.632,%a.s.,13.328,°C,1028,hPa,Humid,0,0,,0,30.241,54490,48840.22,6,2500,#N/A
173,2008-08-20 13:39,2.15,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.673,%a.s.,13.34,°C,1028,hPa,Humid,0,0,,0,30.233,54494,48828.24,6,2500,#N/A
177,2008-08-20 13:39,2.2,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.635,%a.s.,13.353,°C,1028,hPa,Humid,0,0,,0,30.236,54487,48832.11,6,2500,#N/A
181,2008-08-20 13:39,2.251,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.615,%a.s.,13.34,°C,1028,hPa,Humid,0,0,,0,30.241,54484,48829.37,6,2500,#N/A
185,2008-08-20 13:39,2.3,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.632,%a.s.,13.365,°C,1028,hPa,Humid,0,0,,0,30.234,54484,48828.82,6,2500,#N/A
189,2008-08-20 13:39,2.35,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.573,%a.s.,13.371,°C,1028,hPa,Humid,0,0,,0,30.241,54481,48831.05,6,2500,#N/A
193,2008-08-20 13:39,2.4,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.592,%a.s.,13.383,°C,1028,hPa,Humid,0,0,,0,30.236,54481,48832.95,6,2500,#N/A
197,2008-08-20 13:39,2.45,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.625,%a.s.,13.365,°C,1028,hPa,Humid,0,0,,0,30.235,54479,48828.06,6,2500,#N/A
201,2008-08-20 13:39,2.5,min,Sensor1 (PSt3),2008-08-20 13:27,default,81.541,%a.s.,13.383,°C,1028,hPa,Humid,0,0,,0,30.243,54482,48828.13,6,2500,#N/A
