PreSens Measurement Studio 2,,,,,,,,,,,,,,,,,,,,,,,,
Id,Date,Time,Sensor,Calibration,User,delta_t,Time_Unit,Value,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
3,2008-08-20 0:00,1:37:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0,min,81.54,%a.s.,13.205,°C,1028,hPa,Humid,0,0,,0,30.277,47811,45622.2,7,2500,#N/A
7,2008-08-20 0:00,1:37:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.051,min,81.551,%a.s.,13.223,°C,1028,hPa,Humid,0,0,,0,30.272,47816,45623.15,7,2500,#N/A
11,2008-08-20 0:00,1:37:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.1,min,81.583,%a.s.,13.205,°C,1028,hPa,Humid,0,0,,0,30.271,47821,45623.47,7,2500,#N/A
15,2008-08-20 0:00,1:37:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.15,min,81.475,%a.s.,13.235,°C,1028,hPa,Humid,0,0,,0,30.28,47821,45615.37,7,2500,#N/A
19,2008-08-20 0:00,1:37:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.2,min,81.517,%a.s.,13.211,°C,1028,hPa,Humid,0,0,,0,30.279,47817,45614.35,7,2500,#N/A
23,2008-08-20 0:00,1:37:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.25,min,81.473,%a.s.,13.248,°C,1028,hPa,Humid,0,0,,0,30.278,47809,45619.21,7,2500,#N/A
27,2008-08-20 0:00,1:37:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.3,min,81.584,%a.s.,13.198,°C,1028,hPa,Humid,0,0,,0,30.272,47818,45614.76,7,2500,#N/A
31,2008-08-20 0:00,1:37:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.35,min,81.466,%a.s.,13.248,°C,1028,hPa,Humid,0,0,,0,30.279,47808,45619.9,7,2500,#N/A
35,2008-08-20 0:00,1:37:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.4,min,81.637,%a.s.,13.192,°C,1028,hPa,Humid,0,0,,0,30.266,47803,45620.93,7,2500,#N/A
39,2008-08-20 0:00,1:37:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.45,min,81.557,%a.s.,13.192,°C,1028,hPa,Humid,0,0,,0,30.277,47808,45616.41,7,2500,#N/A
43,2008-08-20 0:00,1:37:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.501,min,81.561,%a.s.,13.205,°C,1028,hPa,Humid,0,0,,0,30.274,47803,45616.07,7,2500,#N/A
47,2008-08-20 0:00,1:37:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.55,min,81.567,%a.s.,13.211,°C,1028,hPa,Humid,0,0,,0,30.272,47799,45617.37,7,2500,#N/A
51,2008-08-20 0:00,1:37:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.6,min,81.552,%a.s.,13.217,°C,1028,hPa,Humid,0,0,,0,30.273,47801,45614.2,7,2500,#N/A
55,2008-08-20 0:00,1:37:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.65,min,81.549,%a.s.,13.229,°C,1028,hPa,Humid,0,0,,0,30.271,47809,45615.95,7,2500,#N/A
59,2008-08-20 0:00,1:37:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.7,min,81.547,%a.s.,13.205,°C,1028,hPa,Humid,0,0,,0,30.276,47805,45614.33,7,2500,#N/A
63,2008-08-20 0:00,1:38:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.75,min,81.624,%a.s.,13.217,°C,1028,hPa,Humid,0,0,,0,30.263,47807,45614.2,7,2500,#N/A
67,2008-08-20 0:00,1:38:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.801,min,81.505,%a.s.,13.235,°C,1028,hPa,Humid,0,0,,0,30.276,47806,45610.48,7,2500,#N/A
71,2008-08-20 0:00,1:38:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.85,min,81.58,%a.s.,13.223,°C,1028,hPa,Humid,0,0,,0,30.268,47807,45615.08,7,2500,#N/A
75,2008-08-20 0:00,1:38:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.9,min,81.575,%a.s.,13.211,°C,1028,hPa,Humid,0,0,,0,30.271,47803,45613.23,7,2500,#N/A
79,2008-08-20 0:00,1:38:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.951,min,81.547,%a.s.,13.205,°C,1028,hPa,Humid,0,0,,0,30.276,47795,45617.72,7,2500,#N/A
83,2008-08-20 0:00,1:38:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,1,min,81.548,%a.s.,13.198,°C,1028,hPa,Humid,0,0,,0,30.277,47801,45614.41,7,2500,#N/A
87,2008-08-20 0:00,1:38:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,1.05,min,81.524,%a.s.,13.211,°C,1028,hPa,Humid,0,0,,0,30.278,47794,45617.17,7,2500,#N/A
91,2008-08-20 0:00,1:38:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,1.1,min,81.598,%a.s.,13.242,°C,1028,hPa,Humid,0,0,,0,30.262,47800,45619.49,7,2500,#N/A
