PreSens Measurement Studio 2,,,,,,,,,,,,,,,,,,,,,,,
Id,Date,delta_t,Time_Unit,Sensor,Calibration,User,Value,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
5092,2008-08-20 15:35,4.85,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.313,ppm (mg/L),14.666,°C,1028,hPa,Humid,0,0,,0,30.086,48453,49036.34,7,2500,#N/A
5096,2008-08-20 15:35,4.9,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.317,ppm (mg/L),14.654,°C,1028,hPa,Humid,0,0,,0,30.086,48449,49032.92,7,2500,#N/A
5100,2008-08-20 15:35,4.95,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.311,ppm (mg/L),14.672,°C,1028,hPa,Humid,0,0,,0,30.086,48449,49032.81,7,2500,#N/A
5104,2008-08-20 15:35,5,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.305,ppm (mg/L),14.691,°C,1028,hPa,Humid,0,0,,0,30.086,48451,49037.63,7,2500,#N/A
5108,2008-08-20 15:35,5.05,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.322,ppm (mg/L),14.678,°C,1028,hPa,Humid,0,0,,0,30.069,48454,49036.25,7,2500,#N/A
5112,2008-08-20 15:35,5.1,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.307,ppm (mg/L),14.685,°C,1028,hPa,Humid,0,0,,0,30.086,48450,49031.67,7,2500,#N/A
5116,2008-08-20 15:35,5.15,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.324,ppm (mg/L),14.654,°C,1028,hPa,Humid,0,0,,0,30.077,48444,49025.96,7,2500,#N/A
5120,2008-08-20 15:35,5.199,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.321,ppm (mg/L),14.672,°C,1028,hPa,Humid,0,0,,0,30.073,48451,49034.96,7,2500,#N/A
5124,2008-08-20 15:35,5.25,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.307,ppm (mg/L),14.691,°C,1028,hPa,Humid,0,0,,0,30.083,48449,49031.65,7,2500,#N/A
5128,2008-08-20 15:35,5.3,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.302,ppm (mg/L),14.697,°C,1028,hPa,Humid,0,0,,0,30.088,48454,49032.33,7,2500,#N/A
5132,2008-08-20 15:35,5.35,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.307,ppm (mg/L),14.685,°C,1028,hPa,Humid,0,0,,0,30.086,48454,49025.09,7,2500,#N/A
5136,2008-08-20 15:36,5.4,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.305,ppm (mg/L),14.697,°C,1028,hPa,Humid,0,0,,0,30.084,48450,49033.55,7,2500,#N/A
