PreSens Measurement Studio 2,,,,,,,,,,,,,,,,,,,,,,,
Id,Date,delta_t,Time_unit,Sensor,Calibration,User,Value,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
2,2008-08-20 13:37,0,min,Sensor2 (PSt3),2008-08-20 13:27,default,81.532,%a.s.,13.205,°C,1028,hPa,Humid,0,0,,0,30.278,48669,49827.56,7,2500,#N/A
6,2008-08-20 13:37,0.051,min,Sensor2 (PSt3),2008-08-20 13:27,default,81.478,%a.s.,13.223,°C,1028,hPa,Humid,0,0,,0,30.282,48674,49826.27,7,2500,#N/A
10,2008-08-20 13:37,0.1,min,Sensor2 (PSt3),2008-08-20 13:27,default,81.532,%a.s.,13.205,°C,1028,hPa,Humid,0,0,,0,30.278,48672,49827.05,7,2500,#N/A
14,2008-08-20 13:37,0.15,min,Sensor2 (PSt3),2008-08-20 13:27,default,81.483,%a.s.,13.235,°C,1028,hPa,Humid,0,0,,0,30.279,48667,49831.28,7,2500,#N/A
18,2008-08-20 13:37,0.2,min,Sensor2 (PSt3),2008-08-20 13:27,default,81.509,%a.s.,13.211,°C,1028,hPa,Humid,0,0,,0,30.28,48669,49825.06,7,2500,#N/A
22,2008-08-20 13:37,0.25,min,Sensor2 (PSt3),2008-08-20 13:27,default,81.437,%a.s.,13.248,°C,1028,hPa,Humid,0,0,,0,30.283,48671,49829.01,7,2500,#N/A
26,2008-08-20 13:37,0.3,min,Sensor2 (PSt3),2008-08-20 13:27,default,81.548,%a.s.,13.198,°C,1028,hPa,Humid,0,0,,0,30.277,48668,49821.82,7,2500,#N/A
30,2008-08-20 13:37,0.35,min,Sensor2 (PSt3),2008-08-20 13:27,default,81.451,%a.s.,13.248,°C,1028,hPa,Humid,0,0,,0,30.281,48668,49820.86,7,2500,#N/A
34,2008-08-20 13:37,0.4,min,Sensor2 (PSt3),2008-08-20 13:27,default,81.527,%a.s.,13.192,°C,1028,hPa,Humid,0,0,,0,30.281,48665,49824.81,7,2500,#N/A
38,2008-08-20 13:37,0.45,min,Sensor2 (PSt3),2008-08-20 13:27,default,81.549,%a.s.,13.192,°C,1028,hPa,Humid,0,0,,0,30.278,48663,49823.23,7,2500,#N/A
42,2008-08-20 13:37,0.501,min,Sensor2 (PSt3),2008-08-20 13:27,default,81.54,%a.s.,13.205,°C,1028,hPa,Humid,0,0,,0,30.277,48663,49822.12,7,2500,#N/A
46,2008-08-20 13:37,0.55,min,Sensor2 (PSt3),2008-08-20 13:27,default,81.495,%a.s.,13.211,°C,1028,hPa,Humid,0,0,,0,30.282,48665,49822.03,7,2500,#N/A
50,2008-08-20 13:37,0.6,min,Sensor2 (PSt3),2008-08-20 13:27,default,81.501,%a.s.,13.217,°C,1028,hPa,Humid,0,0,,0,30.28,48655,49822.72,7,2500,#N/A
54,2008-08-20 13:37,0.65,min,Sensor2 (PSt3),2008-08-20 13:27,default,81.477,%a.s.,13.229,°C,1028,hPa,Humid,0,0,,0,30.281,48659,49816.78,7,2500,#N/A
58,2008-08-20 13:37,0.7,min,Sensor2 (PSt3),2008-08-20 13:27,default,81.561,%a.s.,13.205,°C,1028,hPa,Humid,0,0,,0,30.274,48664,49819.59,7,2500,#N/A
62,2008-08-20 13:38,0.75,min,Sensor2 (PSt3),2008-08-20 13:27,default,81.501,%a.s.,13.217,°C,1028,hPa,Humid,0,0,,0,30.28,48665,49823.3,7,2500,#N/A
