PreSens Measurement Studio 2,,,,,,,,,,,,,,,,,,,,,,,
Id,Date,delta_t,Time_Unit,Sensor,Calibration,User,Value,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
4701,2008-08-20 15:30,0,min,Sensor1 (PSt3),2008-08-20 13:27,default,8.254,ppm (mg/L),14.592,°C,1028,hPa,Humid,0,0,,0,30.198,52467,48753.85,6,2500,#N/A
4705,2008-08-20 15:30,0.05,min,Sensor1 (PSt3),2008-08-20 13:27,default,8.254,ppm (mg/L),14.586,°C,1028,hPa,Humid,0,0,,0,30.2,52464,48750.55,6,2500,#N/A
4709,2008-08-20 15:30,0.099,min,Sensor1 (PSt3),2008-08-20 13:27,default,8.265,ppm (mg/L),14.561,°C,1028,hPa,Humid,0,0,,0,30.196,52473,48754.23,6,2500,#N/A
4713,2008-08-20 15:30,0.15,min,Sensor1 (PSt3),2008-08-20 13:27,default,8.265,ppm (mg/L),14.549,°C,1028,hPa,Humid,0,0,,0,30.202,52462,48757.48,6,2500,#N/A
4717,2008-08-20 15:30,0.2,min,Sensor1 (PSt3),2008-08-20 13:27,default,8.259,ppm (mg/L),14.567,°C,1028,hPa,Humid,0,0,,0,30.202,52464,48754.92,6,2500,#N/A
4721,2008-08-20 15:30,0.25,min,Sensor1 (PSt3),2008-08-20 13:27,default,8.259,ppm (mg/L),14.567,°C,1028,hPa,Humid,0,0,,0,30.201,52462,48753.56,6,2500,#N/A
4725,2008-08-20 15:30,0.3,min,Sensor1 (PSt3),2008-08-20 13:27,default,8.255,ppm (mg/L),14.58,°C,1028,hPa,Humid,0,0,,0,30.202,52460,48747.69,6,2500,#N/A
4729,2008-08-20 15:30,0.35,min,Sensor1 (PSt3),2008-08-20 13:27,default,8.254,ppm (mg/L),14.598,°C,1028,hPa,Humid,0,0,,0,30.195,52465,48754.5,6,2500,#N/A
4733,2008-08-20 15:31,0.399,min,Sensor1 (PSt3),2008-08-20 13:27,default,8.247,ppm (mg/L),14.592,°C,1028,hPa,Humid,0,0,,0,30.207,52469,48757.48,6,2500,#N/A
4737,2008-08-20 15:31,0.45,min,Sensor1 (PSt3),2008-08-20 13:27,default,8.255,ppm (mg/L),14.58,°C,1028,hPa,Humid,0,0,,0,30.202,52462,48755.97,6,2500,#N/A
4741,2008-08-20 15:31,0.499,min,Sensor1 (PSt3),2008-08-20 13:27,default,8.255,ppm (mg/L),14.574,°C,1028,hPa,Humid,0,0,,0,30.204,52463,48748.63,6,2500,#N/A
4745,2008-08-20 15:31,0.55,min,Sensor1 (PSt3),2008-08-20 13:27,default,8.252,ppm (mg/L),14.592,°C,1028,hPa,Humid,0,0,,0,30.2,52456,48750.09,6,2500,#N/A
